modelo;accuracy;precision;recall;f1;roc_auc
Gradient Boosting;0,8562005277044855;0,7980952380952381;0,9928909952606635;0,8848996832101372;0,9212085308056871
Random Forest;0,8350923482849604;0,8024439918533605;0,933649289099526;0,8630887185104053;0,9136270029338749
Regressão Logística;0,5395778364116095;0,5717092337917485;0,6895734597156398;0,6251342642320086;0,5978087621304445
