feature;importancia
DIF_PSICOPEDAGOGICO_NIVEL_-0.78125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-0.8333333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-0.8333333330000006;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-0.9375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.09375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.625;0,0
IPP_5.9375;0,0
IPP_6.041666667;0,0
IPP_6.09375;0,0
IPP_6.25;0,0
IPP_6.354166667;0,0
IPP_6.375;0,0
IPP_6.40625;0,0
IPP_8.875;0,0
IPP_6.5625;0,0
IPP_6.666666667;0,0
IPP_6.71875;0,0
IPP_6.75;0,0
IPP_6.796875;0,0
IPP_6.875;0,0
IPP_7.0;0,0
IPP_7.03125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.7708333330000006;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-1.9791666669999994;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.25;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-0.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.875;0,0
IPP_7.375;0,0
IPP_7.395833333;0,0
IPP_7.604166667;0,0
IPP_7.625;0,0
IPP_7.708333333;0,0
IPP_7.75;0,0
IPP_7.8125;0,0
IPP_7.875;0,0
IPP_7.96875;0,0
IPP_8.0;0,0
IPP_8.020833333;0,0
IPP_8.125;0,0
IPP_6.458333333;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.5416666670000003;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.6458333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.90625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-3.9583333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.166666667;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.21875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.53125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.6875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-4.84375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-5.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-5.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-6.25;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-2.6041666670000003;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.15625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.3125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.4166666670000003;0,0
