RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-555;1;G;Aluno-555;2010,0;12,0;Masculino;2019;Escola Pública;Ametista;Ametista;Quartzo;5,949;732,0;174,0;11,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;9,5;8,1;5,0;Não indicado;4,4;1,8;7,0;;Não;Não;5,167;5,0;Fase 3 (7º e 8º ano);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,949;1;Médio;Excelente;Bom;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;5,1;3,6999999999999993;;6,433400000000001;1;3;;0,8091923532869033;Psico abaixo de 7;1;nan
RA-558;1;H;Aluno-558;2008,0;14,0;Masculino;2022;Escola Pública;;;Quartzo;5,539;786,0;181,0;8,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;9,0;8,5;5,0;Não indicado;4,3;0,5;8,0;;Não;Não;4,5;2,5;Fase 4 (9º ano);-3,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,539;1;Médio;Excelente;Excelente;Médio;Sem informação;Baixo;Baixo;Baixo;Sem informação;4,7;4,2;;6,26;2;3;;0,7865377035001163;Psico abaixo de 7;1;nan
RA-560;1;H;Aluno-560;2011,0;11,0;Masculino;2020;Escola Pública;Ágata;Quartzo;Quartzo;4,949;826,0;189,0;11,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Não avaliado;;;6,9;7,2;5,0;Não indicado;3,8;3,2;4,3;;Não;Não;3,75;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;4,949;1;Baixo;Médio;Bom;Médio;Sem informação;Baixo;Baixo;Médio;Sem informação;3,1000000000000005;3,4000000000000004;;5,33;2;4;;0,816477819174182;Psico abaixo de 7;1;nan
RA-570;1;J;Aluno-570;2012,0;10,0;Feminino;2019;Escola Pública;Topázio;Ágata;Quartzo;5,722;755,0;179,0;17,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;9,0;7,0;7,5;Não atendido;1,3;0,7;2,0;;Não;Não;6,778;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,722;1;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;7,7;5,7;;6,3156;1;2;;0,816477819174182;Misto;1;nan
RA-571;1;J;Aluno-571;2011,0;11,0;Feminino;2019;Escola Pública;Ametista;Ametista;Ágata;6,589;630,0;153,0;13,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;8,5;8,8;7,5;Não atendido;3,7;3,3;4,0;;Não;Não;6,944;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,589;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;4,8;5,1000000000000005;;7,088800000000001;1;2;;0,7865377035001163;Misto;1;nan
RA-581;1;J;Aluno-581;2012,0;10,0;Masculino;2019;Escola Pública;Ametista;Ametista;Ágata;6,464;648,0;157,0;14,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;7,5;8,9;7,5;Não atendido;5,0;5,3;4,7;;Não;Não;5,889;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,464;1;Médio;Bom;Excelente;Bom;Sem informação;Médio;Médio;Médio;Sem informação;2,5;3,9000000000000004;;6,957800000000001;0;2;;0,7546999169844855;Misto;1;nan
RA-582;1;J;Aluno-582;2012,0;10,0;Feminino;2022;Escola Pública;;;Ametista;7,064;466,0;119,0;10,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;10,0;9,0;7,5;Não atendido;4,9;4,3;5,5;;Não;Não;7,222;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,064;1;Bom;Excelente;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,1;4,1;;7,7244;1;1;;0,7371298835519551;Misto;1;nan
RA-584;1;J;Aluno-584;2012,0;10,0;Feminino;2019;Escola Pública;Topázio;Ametista;Ágata;6,714;585,0;143,0;12,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;8,0;8,5;7,5;Não atendido;4,6;4,5;4,7;;Não;Não;7,333;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,714;1;Médio;Bom;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;3,4000000000000004;3,9000000000000004;;7,1866;1;1;;0,7569019356893055;Misto;1;nan
RA-585;1;K;Aluno-585;2013,0;9,0;Feminino;2020;Escola Pública;Ágata;Topázio;Ametista;7,398;362,0;94,0;7,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;8,5;9,1;7,5;Não atendido;5,0;3,7;6,3;;Não;Não;6,889;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,398;0;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Médio;Excelente;Sem informação;3,5;4,1;;7,397800000000001;0;2;;0,7546999169844855;Misto;1;nan
RA-587;1;K;Aluno-587;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,632;615,0;148,0;10,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;9,5;9,3;7,5;Não atendido;3,8;1,0;6,5;;Não;Não;6,167;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,632;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;5,7;5,500000000000001;;7,253400000000001;1;2;;0,7865377035001163;Misto;1;nan
