RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-1;7;A;Aluno-1;2003,0;19,0;Feminino;2016;Escola Pública;Ametista;Ametista;Quartzo;5,783;753,0;18,0;10,0;4,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Mantido na Fase atual;8,3;4,1;5,6;Requer avaliação;4,0;2,7;3,5;6,0;Sim;Não;7,278;5,0;Fase 8 (Universitários);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,783;1;Médio;Bom;Baixo;Médio;Sem informação;Baixo;Bom;Médio;Sem informação;4,300000000000001;0,09999999999999964;;5,8556;2;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-4;7;A;Aluno-4;2005,0;17,0;Masculino;2017;Rede Decisão;Ametista;Ametista;Quartzo;5,951;731,0;15,0;7,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,8;4,5;5,6;Requer avaliação;5,0;2,8;3,5;8,7;Não;Não;5,278;10,0;Fase 7 (3º EM);0,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,951;0;Médio;Excelente;Baixo;Médio;Sem informação;Médio;Médio;Excelente;Sem informação;3,8000000000000007;-0,5;;5,8355999999999995;1;4;;0,7455846760151623;IDA e IEG < 7;1;nan
RA-10;7;A;Aluno-10;2004,0;18,0;Feminino;2021;Escola Pública;;Ágata;Quartzo;5,784;752,0;17,0;9,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,3;5,2;5,0;Requer avaliação;4,1;3,3;2,6;6,4;Não;Não;7,056;5,0;Fase 8 (Universitários);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,784;1;Médio;Bom;Médio;Médio;Sem informação;Baixo;Bom;Médio;Sem informação;4,200000000000001;1,1000000000000005;;5,9312000000000005;1;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-11;7;A;Aluno-11;2004,0;18,0;Feminino;2016;Escola Pública;Quartzo;Ágata;Quartzo;5,323;799,0;19,0;11,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,2;4,2;5,0;Requer avaliação;3,0;1,8;2,5;4,5;Não;Não;6,389;5,0;Fase 8 (Universitários);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,323;1;Médio;Excelente;Baixo;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;6,199999999999999;1,2000000000000002;;5,557799999999999;2;4;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-21;7;D;Aluno-21;2004,0;18,0;Masculino;2022;Escola Pública;;;Ágata;6,945;508,0;9,0;6,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,6;9,2;7,5;Não atendido;3,8;7,0;0,5;;Sim;Não;7,25;5,0;Fase 8 (Universitários);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,945;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,8;5,3999999999999995;;7,469999999999999;1;1;;0,7106715332445422;Misto;1;nan
RA-34;6;A;Aluno-34;2005,0;17,0;Masculino;2016;Rede Decisão;Ametista;Ametista;Ágata;6,259;692,0;13,0;13,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,6;4,8;8,1;Sem limitações;3,8;4,7;4,0;2,8;Não;Não;7,278;5,0;Fase 7 (3º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,259;1;Médio;Excelente;Baixo;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,8;1,0;;6,7156;2;2;;0,7630354756065745;IDA e IEG < 7;1;nan
RA-41;5;A;Aluno-41;2005,0;17,0;Masculino;2018;Escola Pública;Ágata;Ágata;Quartzo;5,581;777,0;51,0;9,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;9,2;6,1;5,0;Requer avaliação;5,6;6,3;2,5;8,0;Não;Não;4,375;5,0;Fase 7 (3º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,581;1;Médio;Excelente;Médio;Médio;Sem informação;Médio;Baixo;Médio;Sem informação;3,5999999999999996;0,5;;6,055;1;4;;0,7455846760151623;IDA e IEG < 7;1;nan
RA-42;5;A;Aluno-42;2007,0;15,0;Masculino;2019;Rede Decisão;Topázio;Ametista;Ágata;6,72;582,0;33,0;5,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase;Avaliador-31;;8,3;7,9;5,6;Requer avaliação;4,8;3,7;4,5;6,2;Não;Não;6,083;10,0;Fase 5 (1º EM);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,72;0;Médio;Bom;Bom;Médio;Sem informação;Baixo;Médio;Excelente;Sem informação;3,500000000000001;3,1000000000000005;;6,536600000000002;1;3;;0,7596713301976176;Psico abaixo de 7;1;nan
RA-46;5;A;Aluno-46;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,048;719,0;46,0;7,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;8,8;8,4;6,3;Sem limitações;2,1;2,8;2,8;0,7;Não;Não;7,083;5,0;Fase 7 (3º EM);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,048;1;Médio;Excelente;Bom;Médio;Sem informação;Baixo;Bom;Médio;Sem informação;6,700000000000001;6,300000000000001;;6,536600000000002;1;2;;0,7698828398216642;Psico abaixo de 7;1;nan
RA-51;5;B;Aluno-51;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,488;645,0;39,0;13,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;8,8;7,6;7,5;Não atendido;5,0;4,5;4,5;6,0;Não;Não;6,5;5,0;Fase 7 (3º EM);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,488;1;Médio;Excelente;Bom;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,8000000000000007;2,5999999999999996;;7,08;0;2;;0,7455846760151623;Misto;1;nan
